STAR_ID,BINNING,AO_FRAMERATE,DIMM_MEDIAN,WFS_MAG_MEDIAN,LAMBDA_LUCI,SR_LUCI,std_fit,std_temp,std_vibr,std_alias,std_meas,std_total,sr_estimation,SR_SAEB,SR_DIFF
G 223-36,2,877.0,1.1254301071166992,13.333983421325684,1646.0,0.48637551069259644,163.99730688881726,107.8193012432258,144.87312079347362,88.86929878750747,160.62227500836818,305.2959335000221,0.4675495369299918,0.25714054703712463,-0.2292349636554718
G135-21,2,1040.0,1.3315199613571167,12.846750259399414,1646.0,0.32197752594947815,188.66630471875803,104.90402618417458,134.80078660355102,122.79439490226726,166.4011287058727,327.9312128615081,0.41596167327077316,0.20867280662059784,-0.11330471932888031
HD 238049,1,1700.0,1.071560025215149,10.259103775024414,1646.0,0.727869987487793,95.81811216622118,40.27587065099139,53.484271208979386,28.449202879109084,58.310381178020904,133.69099199322443,0.8643418268276657,0.7707139253616333,0.04284393787384033
HD 87705,1,1700.0,1.0369499921798706,8.995275497436523,1646.0,0.5962333083152771,93.23207871539094,31.58853097958442,47.225239814780224,26.759960455583162,41.28329901151666,119.75260050396896,0.8896095350303943,0.8114250302314758,0.21519172191619873
LP 134-72,3,278.0,1.0697200298309326,16.00567626953125,2200.0,0.2876133918762207,229.6781852455635,201.08755748579156,289.3554125029215,157.31351883678477,337.84235567439947,561.9607012901095,0.07608654828610553,0.07608654350042343,-0.21152684092521667
LP 227-9,2,783.0,0.883481502532959,14.006664276123047,1646.0,0.3906431198120117,134.040434295216,98.47748624768566,157.59595469377444,57.8817633092861,162.69978975793993,286.91925409533866,0.5109512723742744,0.3013288378715515,-0.0893142819404602
LP 228-31,4,170.0,0.9110435247421265,17.57313346862793,2200.0,0.2571897506713867,252.83809934980314,259.29379840601814,454.3024619160129,173.4099314620553,510.27826365792436,792.4683059712943,0.005961367835800902,0.0059613692574203014,-0.251228392124176
LP 228-31,4,171.0,0.9486969709396362,17.56171226501465,2200.0,0.24054625630378723,261.51674803686257,305.3391851799599,452.35890204185023,176.4656508404668,516.0890485801236,814.7021761094865,0.004454129385160192,0.0044541312381625175,-0.23609212040901184
LP 269-41,3,837.0,0.9719505310058594,14.667074203491211,1646.0,0.341050386428833,212.04666317937475,106.89786964068874,202.20596540232825,138.3420667867708,228.2698495800457,410.5165599749229,0.2529412342784894,0.08580982685089111,-0.2552405595779419
LP 279-11,4,268.0,0.7543264627456665,16.14423942565918,2200.0,0.34653913974761963,216.0359524091065,140.32746614552838,268.0384328375186,149.2887634636628,296.91140475968297,498.64962562806045,0.13157546138416223,0.13157548010349274,-0.2149636596441269
LP 558-26,3,354.0,1.0349600315093994,15.454050064086914,1646.0,0.14613741636276245,223.44173254144667,154.2103565245904,237.37077730084425,152.21472773832693,283.46577691444173,483.2950422248636,0.14879387171236577,0.03325692564249039,-0.11288049072027206
Pul -3 910022,3,900.0,1.0700199604034424,14.579795837402344,1646.0,0.2763379216194153,229.73184874183528,139.8814071767682,190.74558101192952,162.21334502325328,239.84448237029298,438.82337232966483,0.20789912603309346,0.060449451208114624,-0.21588847041130066
Pul -3 910022,3,925.0,1.1258200407028198,14.591980934143066,1646.0,0.2932613790035248,239.6728209692087,142.51319060830212,205.3634386406335,174.72711477455672,242.9234846901544,457.67739357592336,0.18112424406573788,0.047252852469682693,-0.24600853025913239
TYC 3015-369-1,2,1180.0,1.0926399230957031,12.651819229125977,1646.0,0.5500819683074951,160.0057154451485,78.23840608390671,103.25315037514477,83.67834993857578,130.29910726895108,257.6125265346869,0.5819836989113025,0.3802156150341034,-0.16986635327339172
TYC 3455 460-1,1,1372.0,1.0714600086212158,11.318679809570312,1646.0,0.7010918855667114,95.8106592661394,56.743619799589894,69.45768720140644,28.399425851314835,76.00926888522349,154.2978531072018,0.8234987434612553,0.7068672180175781,0.005775332450866699
TYC 3836-261-1,1,826.0,1.0484700202941895,12.10549545288086,1646.0,0.620639443397522,94.09442028584016,81.38957466743183,115.09359661068163,27.796405548305415,100.36361507841846,198.92223145558896,0.7241469222966478,0.5618111491203308,-0.05882829427719116
Wolf 1409,1,993.0,0.7708140015602112,11.686797142028809,-1.0,-1.0,72.81572632979224,52.306229996450305,87.56894240645049,16.286557842055835,79.70382015994913,149.4133270026243,0.8335238901332798,,
